timestamp,temperature,humidity,pressure,voc_ppb,gas_aqi,voc_aqi,overall_aqi,sampling_mode,data_quality
2026-03-29T09:33:27.835030Z,21.35,42.25,1013.69,,322.71,,322.71,NORMAL,good
2026-03-29T09:34:27.845297Z,21.35,42.15,1013.66,,317.19,,317.19,NORMAL,good
2026-03-29T09:35:27.853816Z,21.31,42.23,1013.63,,317.71,,317.71,NORMAL,good
2026-03-29T09:36:27.862151Z,21.22,42.41,1013.68,,316.48,,316.48,NORMAL,good
2026-03-29T09:37:27.874456Z,21.4,41.97,1013.72,,318.01,,318.01,NORMAL,good
2026-03-29T09:38:27.882490Z,21.57,41.61,1013.77,,324.41,,324.41,NORMAL,good
2026-03-29T09:39:27.893101Z,21.59,41.74,1013.79,,334.18,,334.18,NORMAL,good
2026-03-29T09:40:27.902477Z,21.46,41.99,1013.77,,330.54,,330.54,NORMAL,good
2026-03-29T09:41:27.924049Z,21.39,42.12,1013.73,,324.4,,324.4,NORMAL,good
2026-03-29T09:42:27.946547Z,21.44,41.89,1013.69,,324.69,,324.69,NORMAL,good
2026-03-29T09:43:27.963552Z,21.55,41.59,1013.71,,325.69,,325.69,NORMAL,good
2026-03-29T09:44:27.981549Z,21.73,41.25,1013.71,,326.27,,326.27,NORMAL,good
2026-03-29T09:45:27.994214Z,21.84,41.06,1013.69,,330.37,,330.37,NORMAL,good
2026-03-29T09:46:28.018442Z,21.01,43.44,1013.7,457.0,327.08,278.5,302.79,NORMAL,excellent
2026-03-29T09:47:28.038296Z,21.02,43.34,1013.66,463.0,324.74,281.5,303.12,NORMAL,excellent
2026-03-29T09:48:28.061697Z,20.98,43.44,1013.59,468.5,319.65,284.25,301.95,NORMAL,excellent
2026-03-29T09:49:28.077462Z,20.98,43.47,1013.57,470.5,318.19,285.25,301.72,NORMAL,excellent
2026-03-29T09:50:28.089284Z,21.05,43.22,1013.54,470.17,321.75,285.09,303.42,NORMAL,excellent
2026-03-29T09:51:28.127746Z,21.13,43.09,1013.48,474.33,325.86,287.16,306.51,NORMAL,excellent
2026-03-29T09:51:56.636340Z,20.19,45.72,,473.33,,286.66,286.66,NORMAL,good
2026-03-29T09:52:28.149542Z,21.16,43.1,1013.43,466.83,324.45,283.41,303.93,NORMAL,excellent
2026-03-29T09:53:28.170977Z,21.13,43.16,1013.38,460.5,321.99,280.25,301.12,NORMAL,excellent
2026-03-29T09:54:28.178652Z,21.13,43.16,1013.44,458.17,322.29,279.09,300.69,NORMAL,excellent
2026-03-29T09:55:28.226479Z,21.18,43.07,1013.46,452.17,324.34,276.09,300.21,NORMAL,excellent
2026-03-29T09:56:28.242198Z,21.15,43.2,1013.46,448.67,322.34,274.34,298.34,NORMAL,excellent
2026-03-29T09:57:28.251090Z,21.23,42.84,1013.49,471.5,323.93,285.75,304.84,NORMAL,excellent
2026-03-29T09:58:28.262290Z,21.31,42.64,1013.53,478.5,328.9,289.25,309.07,NORMAL,excellent
2026-03-29T09:59:28.270604Z,21.41,42.48,1013.54,473.67,329.73,286.84,308.28,NORMAL,excellent
